국문역명,영문역명,전산역명,전산약어,XROIS역코드,KROIS역코드,역키로정,매표단말코드,주소,노선,위도,경도,폐역여부
부열소,,부열소,부열소,3900019,000051,000051,,,,,,아니오
부용,Buyong,부용,부용,3900212,030953,030953,0350,전북특별자치도 김제시 백구면 월연대길 313,호남선,35.87649945421484,126.94387849449974,아니오
부전,Bujeon,부전,부전,3900621,750046,750046,0190,부산광역시 부산진구 부전로 181,동해선,35.164392694647404,129.05991245107245,아니오
부전차량사업소,Bujeon Depot,부전차량사업소,부전차,3900955,A50046,A50046,,,,,,아니오
부조,Bujo,부조,부조,3901039,8B0248,751395,,경상북도 경주시 강동면 유금리 310-2,",동해선,괴동",36.0021657894564,129.285132355854,아니오
부지청,Busan Regional Headquarters,부지청,부지청,3900005,000005,000005,,,,,,아니오
부천,Bucheon,부천,부천,3900304,060121,060095,0807,경기도 부천시 부천로 1,경인선,37.484037408727,126.782649851217,아니오
부천종합운동장,Bucheon Stadium,부천종합운,부천종,3901122,270027,270155,,경기도 부천시 여월동 151-1,서해선,37.50693456974187,126.79768668402794,아니오
부평,Bupyeong,부평,부평,3900308,060175,060149,0811,인천광역시 부평구 광장로 16,경인선,37.48949391528411,126.72444795472558,아니오
부황,Buhwang,부황,부황,3900203,030445,030445,0346,충청남도 논산시 부적면 부황길 160-3,호남선,36.22522315111605,127.1529197228782,아니오
북삼,Buksam,북삼,북삼,3901186,012874,012874,,,경부선,,,아니오
북송정,Buksongjeong,북송정,북송정,3900228,031840,031840,0634,광주광역시 광산구 송정공원로23번길 44-5,호남선,35.14568821814226,126.79660336167416,아니오
북송정분기,Buksongjeong Junction,북송정분기,북송분,3900735,882993,882882,,광주광역시 광산구 신촌동 1064-2,",경전선,북송정삼각",35.144224600981,126.800266155477,아니오
북영주,Bukyeongju,북영주,북영주,3900163,022161,022043,0627,경상북도 영주시 영주동 470-24,",중앙선,북영주삼각",36.8215690448101,128.619639536371,아니오
북영주분기,Bukyeongju Junction,북영주분기,북주분,3900550,600018,600018,,경상북도 영주시 원당로 96-1,",영동선,북영주삼각",36.82053705201817,128.62563349901012,아니오
북영천,Bukyeongcheon,북영천,북영천,3900186,023424,023290,0222,경상북도 영천시 장수로 135,",중앙선,영천삼각",35.97147912482327,128.9136097201763,아니오
북영천분기,Bukyeongcheon Junction,북영천분기,북영분,3900675,830332,830332,,경상북도 영천시 화룡동 264-2,",대구선,영천삼각",35.956852941265886,128.9162519028315,아니오
북울산,Bukulsan,북울산,북울산,3901113,750781,750781,0535,울산광역시 북구 창평동 산 46-10,동해선,35.6144146082065,129.37249728445147,아니오
북전주,Bukejeonju,북전주,북전주,3900541,410017,410017,0709,전북특별자치도 전주시 덕진구 팔과정로 219-20,북전주선,35.866017615864294,127.09854016131864,아니오
북천,Bukcheon,북천,북천,3900703,881269,881166,0064,경상남도 하동군 북천면 경서대로 2347,경전선,35.11171529340342,127.88355849904153,아니오
북철송장,Bukchulsongjang,북철송장,북철송,3900920,580058,580058,,부산광역시 강서구 성북동 1524,신항북선,35.0828908320152,128.815292183985,아니오
분당기지,Bundang Depot,분당기지,분당기,3900493,230343,1A0005,,경기도 용인시 기흥구 용구대로2469번길 92,분당기지선,37.31768976966666,127.1071694574688,아니오
분당차량사업소,Bundang Depot,분당차량사업소,분당차량,3900982,X00013,X00014,,경기도 용인시 기흥구 용구대로2469번길 92,,37.3229718673778,127.107817187946,아니오
분천,Buncheon,분천,분천,3900560,600593,600593,0166,경상북도 봉화군 소천면 분천길 49,영동선,36.93244931685273,129.05770817978362,아니오
불광,Bulgwang,불광,불광,3900799,930048,930048,,서울특별시 은평구 불광동 276-15,서울 지하철 3호선,37.6103892830409,126.930072067076,아니오
불국사,Bulguksa,불국사,불국사,3900645,751013,750987,0185,경상북도 경주시 산업로 3043-8,동해남부선,35.776133,129.296813,예
비동,Bidong,비동,비동,3901022,600635,600635,0636,경상북도 봉화군 소천면 분천리 219-2,영동선,36.95755032050169,129.07356145543244,아니오
비봉,Bibong,비봉,비봉,3900178,022907,022773,0631,경상북도 의성군 의성읍 동부로 2932-11,중앙선,36.303024926585245,128.69285319675257,예
사곡,Sagok,사곡,사곡,3900089,012821,012813,0312,경상북도 구미시 상사서로 173-16,경부선,36.0981803548534,128.35624980251993,아니오
사당,Sadang,사당,사당,3900854,940295,940295,,서울특별시 동작구 남부순환로 2089 (사당동 1129),서울 지하철 4호선,37.47677623832676,126.98166254123338,아니오
사릉,Sareung,사릉,사릉,3900424,140133,140110,0255,경기도 남양주시 진건읍 진건우회로 63,경춘선,37.651140971592994,127.17690981210572,아니오
사리,Sari,사리,사리,3901093,101167,101167,, 경기도 안산시 상록구 사동 206-1,수인선,37.2895876502819,126.856767209171,아니오
사방,Sabang,사방,사방,3900650,751238,751212,0193,경상북도 경주시 안강읍 안현로 886-3,동해남부선,35.937801,129.232651,예
사북,Sabuk,사북,사북,3900612,650782,650752,0121,강원특별자치도 정선군 사북읍 지장천로 616-12,태백선,37.22595976540664,128.81957803461395,아니오
사상,Sasang,사상,사상,3900112,014331,014303,0143,부산광역시 사상구 광장로 108,",경부선,가야",35.162661625899815,128.98893987985647,아니오
산본,Sanbon,산본,산본,3900452,210023,210023,0850,경기도 군포시 번영로 504,안산선,37.3581052450073,126.933175135785,아니오
산성,Sanseong,산성,산성,3900258,040820,040759,0374,전북특별자치도 남원시 내척길 179,전라선,35.44083848596509,127.36200355596614,아니오
산인,Sanin,산인,산인,3900688,880480,880556,0478,경상남도 함안군 산인면 산인로 190,경전선,35.2722334504312,128.455246565423,아니오
살미,Salmi,살미,살미,3901138,280666,280666,0544,,중부내륙선,,,아니오
삼각지,Samgakji,삼각지,삼각지,3900849,940219,940219,,서울특별시 용산구 한강대로 지하 180,서울 지하철 4호선,37.5345929627426,126.973010527447,아니오
삼곡,Samgok,삼곡,삼곡,3900155,021644,021537,0094,충청북도 단양군 매포읍 삼곡길 20-11,중앙선,37.0750861239427,128.274532608914,아니오
삼동,Samdong,삼동,삼동,3900961,250092,250084,,경기도 광주시 순암로 451,경강선,37.4086606338843,127.203374456307,아니오
삼랑진,Samrangjin,삼랑진,삼랑진,3900107,013967,013941,0018,경상남도 밀양시 삼랑진읍 천태로 72,",경부선,경전",35.39902361286965,128.84332352336367,아니오
삼례,Samrye,삼례,삼례,3900245,040133,040133,0044,전북특별자치도 완주군 삼례읍 삼례역로 85-32,전라선,35.9040817792255,127.06585320485031,아니오
삼릉,Samneung,삼릉,삼릉,3900440,150078,150078,0420,경기도 고양시 덕양구 원당동 603-3,서울교외선,37.6784587825295,126.850266805347,아니오
삼산,Samsan,삼산,삼산,3900138,020884,020792,0250,경기도 양평군 양동면 삼산리 936-3,중앙선,37.3922451662212,127.77984583446252,아니오
삼성,Samseong,삼성,삼성,3900100,013466,013457,0316,경상북도 경산시 남천면 삼성역길 64-23,경부선,35.76295530514141,128.72254531937216,아니오
삼송,Samsong,삼송,삼송,3900495,240017,240017,0879,경기도 고양시 덕양구 삼송로 지하 194,일산선,37.6532526658959,126.895742017329,아니오
삼척,Samcheok,삼척,삼척,3900597,630129,630129,0445,강원특별자치도 삼척시 중앙로 13,삼척선,37.429940555229685,129.1781818349058,아니오
삼척해변,Samcheok Beach,삼척해변,삼척해,3900596,630078,630078,0299,강원특별자치도 삼척시 수로부인길 542,삼척선,37.4683062272076,129.166275339405,아니오
삼탄,Samtan,삼탄,삼탄,3900295,051006,051006,0213,충청북도 충주시 산척면 삼여울길 108,충북선,37.07331852751193,128.03948184349744,아니오
삼화,Samhwa,삼화,삼화,3900619,690064,690064,0723,강원특별자치도 동해시 삼화로 54,북평선,37.485546110618095,129.0624695656581,아니오
삽교,Sapgyo,삽교,삽교,3900330,080492,080425,0080,충청남도 예산군 삽교읍 삽교역로 101-14,장항선,36.67985968769079,126.75159015690964,아니오
상갈,Sanggal,상갈,상갈,3901002,230414,230414,,경기도 용인시 기흥구 금화로 지하 40,분당선,37.2618293986879,127.108877351347,아니오
상계,Sanggye,상계,상계,3900831,940012,940012,,서울특별시 노원구 상계로 182,서울 지하철 4호선,37.6609033267453,127.073575557096,아니오
상동,Sangdong,상동,상동,3900104,013747,013722,0272,경상남도 밀양시 상동면 금산7길 4,경부선,35.55558020637597,128.7603986479727,아니오
